Date,Open,High,Low,Close,Adj Close,Volume
"Oct 8, 2024",187.62,189.88,186.56,187.47,186.55,"36,27,200"
"Oct 7, 2024",185.94,187.23,184.8,185.96,185.04,"25,14,200"
"Oct 4, 2024",186.58,187.16,184.86,187.08,186.16,"39,78,300"
"Oct 3, 2024",186.5,186.71,183.7,183.89,182.98,"39,99,500"
"Oct 2, 2024",185.57,188.2,184.73,186.44,185.52,"28,79,800"
"Oct 1, 2024",187.49,188.22,184.92,186.3,185.38,"37,94,000"
"Sep 30, 2024",185.08,188.71,183.09,188.58,187.65,"56,28,400"
"Sep 27, 2024",184.17,186.19,183.13,185.38,184.47,"44,52,800"
"Sep 26, 2024",189.4,189.55,184.53,184.59,183.68,"47,81,500"
"Sep 25, 2024",189.83,190.88,188.2,189.33,188.12,"32,14,800"
"Sep 24, 2024",188.67,189.8,187,189.66,188.45,"36,48,900"
"Sep 23, 2024",187.81,189.78,187.4,188.67,187.46,"39,72,500"
"Sep 20, 2024",185,187.84,184.32,187.43,186.23,"98,95,700"
"Sep 19, 2024",187.65,187.99,184.28,186.16,184.97,"50,21,500"
"Sep 18, 2024",181.2,185.77,180.43,183.55,182.37,"56,86,500"
"Sep 17, 2024",181.51,182.43,178.99,180.33,179.17,"59,36,900"
"Sep 16, 2024",178.72,181.52,176.26,181.44,180.28,"68,44,600"
"Sep 13, 2024",169.41,179.32,169.21,178.28,177.14,"73,60,800"
"Sep 12, 2024",166.51,170.97,166.23,169.7,168.61,"51,50,100"
"Sep 11, 2024",166.24,166.73,162.23,166.35,165.28,"42,58,000"
"Sep 10, 2024",167.45,167.73,164.25,166.98,165.91,"34,73,200"
"Sep 9, 2024",163.49,166.38,162.91,165.35,164.29,"37,16,000"
"Sep 6, 2024",164.51,166.04,160.59,161.23,160.2,"39,54,900"
"Sep 5, 2024",164.78,166,162.51,163.85,162.8,"31,44,200"
"Sep 4, 2024",163.5,166.62,163.4,166.36,165.29,"41,12,400"
"Sep 3, 2024",174.19,174.75,163.6,164.21,163.16,"60,99,600"
"Aug 30, 2024",173.96,174.82,171.77,174.62,173.5,"52,95,600"
"Aug 29, 2024",172.62,175.97,172.49,173.58,172.47,"42,62,500"
"Aug 28, 2024",171.2,173.17,170.29,171.87,170.77,"45,78,700"
"Aug 27, 2024",170.7,171.5,169.6,170.99,169.89,"32,06,000"
"Aug 26, 2024",170.54,171.93,169.58,171.22,170.12,"37,07,300"
"Aug 23, 2024",170,171.38,168.85,171.22,170.12,"40,58,000"
"Aug 22, 2024",171.74,171.98,168.77,169.68,168.59,"29,96,600"
"Aug 21, 2024",170.1,172.19,169.85,171.2,170.1,"41,02,900"
"Aug 20, 2024",170.91,170.91,169.19,169.99,168.9,"25,73,900"
"Aug 19, 2024",169.61,171,168.02,170.93,169.84,"45,06,000"
"Aug 16, 2024",170.05,170.33,168.86,169.42,168.33,"33,05,600"
"Aug 15, 2024",168.75,170.75,168.22,169.94,168.85,"41,62,500"
"Aug 14, 2024",168.5,169.18,165.62,167.95,166.87,"44,56,000"
"Aug 13, 2024",167.76,168.63,166.25,167.96,166.88,"29,42,400"
"Aug 12, 2024",167.63,168.78,164.62,166.87,165.8,"31,73,700"
"Aug 9, 2024",165.45,167.88,164.57,167.13,166.06,"27,70,100"
"Aug 8, 2024",164.48,166.33,163.56,165.61,164.55,"38,42,700"
"Aug 7, 2024",164.42,166.27,161.57,162.13,161.09,"43,07,500"
"Aug 6, 2024",159.93,165.45,159.76,162.27,161.23,"50,56,700"
"Aug 5, 2024",152.49,159.9,150.2,158.36,157.35,"70,64,800"
"Aug 2, 2024",165.57,167.43,158.36,160.28,159.25,"82,10,700"
"Aug 1, 2024",170.75,174.7,168.22,169.75,168.66,"61,12,900"
"Jul 31, 2024",170.87,171.75,167.96,170.2,169.11,"55,68,800"
"Jul 30, 2024",170.48,174.73,167.27,167.48,166.41,"53,29,500"
"Jul 29, 2024",171.25,172.73,168.4,169.87,168.78,"48,86,600"
"Jul 26, 2024",167.25,172.62,166.11,169.81,168.72,"72,97,700"
"Jul 25, 2024",163.3,168.2,161.92,164.67,163.62,"87,91,500"
"Jul 24, 2024",171.5,172.87,162.05,162.3,161.26,"73,35,200"
"Jul 23, 2024",166,177.2,164.62,172,170.9,"1,64,28,000"
"Jul 22, 2024",159.97,162.94,159.77,162.76,161.72,"63,50,500"
"Jul 19, 2024",159.66,160.44,157.62,159.13,158.11,"54,59,800"
"Jul 18, 2024",157.37,160.44,156.42,158.79,157.77,"52,74,800"
"Jul 17, 2024",161.65,161.95,156.51,156.66,155.66,"60,41,200"
"Jul 16, 2024",159.88,163.87,159.65,162.85,161.81,"65,00,700"
"Jul 15, 2024",160.6,160.75,158.6,159.56,158.54,"53,83,300"
"Jul 12, 2024",161.88,162.3,158.8,159.01,157.99,"59,83,400"
"Jul 11, 2024",165.19,165.68,161.79,161.92,160.88,"45,53,800"
"Jul 10, 2024",163.15,165.99,162.54,165.7,164.36,"39,04,600"
